n	seed	k	bound	count	inc
13	45	5	2646000.0	20	0.628205128205
13	15	5	2419200.0	42	0.589743589744
13	19	5	97200.0	60	0.461538461538
13	3	5	194400.0	252	0.5
13	12	5	138240.0	16	0.487179487179
13	56	5	57600.0	280	0.448717948718
13	84	5	3600.0	156	0.358974358974
13	43	5	69120.0	152	0.435897435897
13	45	10	1620000.0	2	0.589743589744
13	3	10	11520.0	4	0.371794871795
13	40	10	4800.0	12	0.384615384615
13	12	10	40320.0	6	0.448717948718
13	43	10	5760.0	7	0.346153846154
13	25	10	345600.0	3	0.538461538462
13	15	10	829440.0	4	0.525641025641
13	19	10	38880.0	6	0.423076923077
13	56	10	3840.0	12	0.346153846154
13	84	10	768.0	12	0.294871794872
